Player Name,Pos.,Birthdate,Birthplace,Country,Seasons,GP,G,A,Pts,PIM,Yrs.,Birthplace_original,Country_original
Greg Johnston,R,14-01-1965,"Barrie, ON, Canada",Canada,1983-1992,187,26,30,56,124,9,"Barrie, ON, Canada",Canada
Greg Joly,D,30-05-1954,"Rocky Mountain House, AB, Canada",Canada,1974-1983,365,21,76,97,250,9,"Rocky Mountain House, AB, Canada",Canada
Greg Koehler,C,27-02-1975,"Scarborough, ON, Canada",Canada,2000-2001,1,0,0,0,0,1,"Scarborough, ON, Canada",Canada
Greg Kuznik,D,12-06-1978,"Prince George, BC, Canada",Canada,2000-2001,1,0,0,0,0,1,"Prince George, BC, Canada",Canada
Greg Leeb,C,31-05-1977,"Red Deer, AB, Canada",Canada,2000-2001,2,0,0,0,0,1,"Red Deer, AB, Canada",Canada
Greg Malone,C,08-03-1956,"Chatham, NB, Canada",Canada,1976-1987,704,191,310,501,661,11,"Chatham, NB, Canada",Canada
Greg McKegg,C,17-06-1992,"St. Thomas, ON, Canada",Canada,2013-2022,233,21,18,39,65,9,"St. Thomas, ON, Canada",Canada
Greg Meredith,F,23-02-1958,"Toronto, ON, Canada",Canada,1980-1983,38,6,4,10,8,2,"Toronto, ON, Canada",Canada
Greg Millen,G,25-06-1957,"Toronto, ON, Canada",Canada,1978-1992,604,0,18,18,72,14,"Toronto, ON, Canada",Canada
Greg Nemisz,C,05-06-1990,"Courtice, ON, Canada",Canada,2010-2012,15,0,1,1,0,2,"Courtice, ON, Canada",Canada
Greg Pankewicz,W,06-10-1970,"Drayton Valley, AB, Canada",Canada,1993-1999,21,0,3,3,22,2,"Drayton Valley, AB, Canada",Canada
Greg Parks,R,25-03-1967,"Edmonton, AB, Canada",Canada,1990-1993,23,1,2,3,6,3,"Edmonton, AB, Canada",Canada
Greg Paslawski,R,25-08-1961,"Kindersley, SK, Canada",Canada,1983-1994,650,187,185,372,169,11,"Kindersley, SK, Canada",Canada
Greg Polis,L,08-08-1950,"Westlock, AB, Canada",Canada,1970-1980,615,174,169,343,391,10,"Westlock, AB, Canada",Canada
Greg Redquest,G,30-07-1956,"Toronto, ON, Canada",Canada,1977-1978,1,0,0,0,0,1,"Toronto, ON, Canada",Canada
Greg Smith,D,08-07-1955,"Ponoka, AB, Canada",Canada,1975-1988,829,56,232,288,1110,13,"Ponoka, AB, Canada",Canada
Greg Smyth,D,23-04-1966,"Oakville, ON, Canada",Canada,1986-1997,228,4,16,20,783,10,"Oakville, ON, Canada",Canada
Greg Stefan,G,11-02-1961,"Brantford, ON, Canada",Canada,1981-1990,299,0,15,15,200,9,"Brantford, ON, Canada",Canada
Greg Stewart,L,21-05-1986,"Waterloo, ON, Canada",Canada,2007-2010,26,0,1,1,48,3,"Waterloo, ON, Canada",Canada
Greg Tebbutt,D,11-05-1957,"North Vancouver, BC, Canada",Canada,1979-1984,26,0,3,3,35,2,"North Vancouver, BC, Canada",Canada
Greg Terrion,F,02-05-1960,"Marmora, ON, Canada",Canada,1980-1988,561,93,150,243,339,8,"Marmora, ON, Canada",Canada
Greg Theberge,D,03-09-1959,"Peterborough, ON, Canada",Canada,1979-1984,153,15,63,78,73,5,"Peterborough, ON, Canada",Canada
Greg Vaydik,F,09-10-1955,"Yellowknife, NT, Canada",Canada,1976-1977,5,0,0,0,0,1,"Yellowknife, NT, Canada",Canada
Greg Zanon,D,05-06-1980,"Burnaby, BC, Canada",Canada,2005-2013,493,12,50,62,230,8,"Burnaby, BC, Canada",Canada
Gregg Boddy,D,19-03-1949,"Ponoka, AB, Canada",Canada,1971-1976,273,23,44,67,263,5,"Ponoka, AB, Canada",Canada
Gregg Sheppard,L,23-04-1949,"North Battleford, SK, Canada",Canada,1972-1982,657,205,293,498,243,10,"North Battleford, SK, Canada",Canada
Griffin Reinhart,D,24-01-1994,"North Vancouver, BC, Canada",Canada,2014-2017,37,0,2,2,26,3,"North Vancouver, BC, Canada",Canada
Guillaume Brisebois,D,21-07-1997,"Longueuil, QC, Canada",Canada,2018-2025,30,1,2,3,6,5,"Longueuil, QC, Canada",Canada
Guillaume Desbiens,R,20-04-1985,"Alma, QC, Canada",Canada,2009-2012,23,0,0,0,37,3,"Alma, QC, Canada",Canada
Guillaume Latendresse,R,24-05-1987,"Ste-Catherine, QC, Canada",Canada,2006-2013,341,87,60,147,185,7,"Ste-Catherine, QC, Canada",Canada
Guillaume Lefebvre,L,07-05-1981,"Amos, QC, Canada",Canada,2001-2010,39,2,4,6,13,4,"Amos, QC, Canada",Canada
Gus Bodnar,C,24-08-1925,"Fort William, ON, Canada",Canada,1943-1955,667,142,254,396,207,12,"Fort William, ON, Canada",Canada
Gus Marker,R,01-08-1905,"Wetaskiwin, AB, Canada",Canada,1932-1942,336,64,69,133,133,10,"Wetaskiwin, AB, Canada",Canada
Gus Mortson,D,24-01-1925,"New Liskeard, ON, Canada",Canada,1946-1959,796,46,152,198,1380,13,"New Liskeard, ON, Canada",Canada
Gus Rivers,R,19-11-1909,"Winnipeg, MB, Canada",Canada,1929-1932,88,4,5,9,12,3,"Winnipeg, MB, Canada",Canada
Guy Carbonneau,C,18-03-1960,"Sept-Iles, QC, Canada",Canada,1980-2000,1318,260,403,663,820,19,"Sept-Iles, QC, Canada",Canada
Guy Charron,C,24-01-1949,"Verdun, QC, Canada",Canada,1969-1981,734,221,309,530,146,12,"Verdun, QC, Canada",Canada
Guy Chouinard,F,20-10-1956,"Quebec, QC, Canada",Canada,1974-1984,578,205,370,575,120,10,"Quebec, QC, Canada",Canada
Guy Delparte,D,30-08-1949,"Sault Ste. Marie, ON, Canada",Canada,1976-1977,48,1,8,9,18,1,"Sault Ste. Marie, ON, Canada",Canada
Guy Labrie,D,11-08-1921,"Saint-Charles, QC, Canada",Canada,1943-1945,42,4,9,13,16,2,"Saint-Charles, QC, Canada",Canada
Guy Lafleur,R,20-09-1951,"Thurso, QC, Canada",Canada,1971-1991,1126,560,793,1353,399,17,"Thurso, QC, Canada",Canada
Guy Lapointe,D,18-03-1948,"Montreal, QC, Canada",Canada,1968-1984,894,171,451,622,893,16,"Montreal, QC, Canada",Canada
Guy Larose,C,31-08-1967,"Hull, QC, Canada",Canada,1988-1995,70,10,9,19,63,6,"Hull, QC, Canada",Canada
Guy Leveque,C,28-12-1972,"Kingston, ON, Canada",Canada,1992-1994,17,2,2,4,21,2,"Kingston, ON, Canada",Canada
Guy Rousseau,L,21-12-1934,"Montreal, QC, Canada",Canada,1954-1957,4,0,1,1,2,2,"Montreal, QC, Canada",Canada
Guy Trottier,R,01-04-1941,"Hull, QC, Canada",Canada,1968-1972,115,28,17,45,37,3,"Hull, QC, Canada",Canada
Hal Cooper,R,29-08-1915,"New Liskeard, ON, Canada",Canada,1944-1945,8,0,0,0,2,1,"New Liskeard, ON, Canada",Canada
Hal Hicks,D,10-12-1900,"Ottawa, ON, Canada",Canada,1928-1931,110,5,2,7,72,3,"Ottawa, ON, Canada",Canada
Hal Laycoe,D,23-06-1922,"Sutherland, SK, Canada",Canada,1945-1956,531,25,77,102,292,11,"Sutherland, SK, Canada",Canada
Hal Murphy,G,07-06-1927,"Shawinigan, QC, Canada",Canada,1952-1953,1,0,0,0,0,1,"Shawinigan Falls, QC, Canada",Canada
Hal Picketts,R,22-04-1909,"Asquith, SK, Canada",Canada,1933-1934,48,3,1,4,32,1,"Asquith, SK, Canada",Canada
Hal Winkler,G,20-04-1892,"Gretna, AB, Canada",Canada,1926-1928,75,0,0,0,0,2,"Gretna, AB, Canada",Canada
Hamby Shore,D,02-12-1886,"Ottawa, ON, Canada",Canada,1917-1918,18,3,0,3,0,1,"Ottawa, ON, Canada",Canada
Hank Bassen,G,06-12-1932,"Calgary, AB, Canada",Canada,1954-1968,157,0,2,2,38,9,"Calgary, AB, Canada",Canada
Hank Blade,C,28-04-1921,"Peterborough, ON, Canada",Canada,1946-1948,24,2,3,5,2,2,"Peterborough, ON, Canada",Canada
Hank Ciesla,C,15-10-1934,"Saint Catharines, ON, Canada",Canada,1955-1959,269,26,51,77,87,4,"Saint Catharines, ON, Canada",Canada
Hank D'Amore,C,17-07-1919,"Niagara Falls, ON, Canada",Canada,1943-1944,4,1,0,1,2,1,"Niagara Falls, ON, Canada",Canada
Hank Goldup,L,29-10-1918,"Kingston, ON, Canada",Canada,1939-1946,202,63,80,143,97,6,"Kingston, ON, Canada",Canada
Hank Lammens,D,21-02-1966,"Brockville, ON, Canada",Canada,1993-1994,27,1,2,3,22,1,"Brockville, ON, Canada",Canada
Hank Lehvonen,D,26-08-1950,"Sarnia, ON, Canada",Canada,1974-1975,4,0,0,0,0,1,"Sarnia, ON, Canada",Canada
Hank Monteith,L,02-10-1945,"Stratford, ON, Canada",Canada,1968-1971,77,5,12,17,6,3,"Stratford, ON, Canada",Canada
Hank Nowak,L,24-11-1950,"Oshawa, ON, Canada",Canada,1973-1977,180,26,29,55,161,4,"Oshawa, ON, Canada",Canada
Hap Myers,D,28-07-1947,"Edmonton, AB, Canada",Canada,1970-1971,13,0,0,0,6,1,"Edmonton, AB, Canada",Canada
"Harold ""Baldy"" Cotton",L,05-11-1902,"Nanticoke, ON, Canada",Canada,1925-1937,500,101,103,204,419,12,"Nanticoke, ON, Canada",Canada
"Harold ""Gizzy"" Hart",L,01-06-1902,"Weyburn, SK, Canada",Canada,1926-1933,100,6,8,14,12,3,"Weyburn, SK, Canada",Canada
"Harold ""Joe"" Simpson",D,13-08-1893,"Selkirk, MB, Canada",Canada,1925-1931,228,21,19,40,176,6,"Selkirk, MB, Canada",Canada
"Harold ""Mush"" March",R,18-10-1908,"Silton, SK, Canada",Canada,1928-1945,759,153,230,383,540,17,"Sitton, SK, Canada",Canada
"Harold ""Slim"" Halderson",D,06-01-1900,"Winnipeg, MB, Canada",Canada,1926-1927,44,3,2,5,65,1,"Winnipeg, MB, Canada",Canada
Harold Brown,R,14-09-1920,"Brandon, MB, Canada",Canada,1945-1946,13,2,1,3,2,1,"Brandon, MB, Canada",Canada
Harold Darragh,R,13-09-1902,"Ottawa, ON, Canada",Canada,1925-1933,308,68,49,117,50,8,"Ottawa, ON, Canada",Canada
Harold Druken,C,26-01-1979,"St. John's, NL, Canada",Canada,1999-2004,146,27,36,63,36,5,"St. John's, NL, Canada",Canada
Harold Jackson,D,01-08-1918,"Cedar Springs, ON, Canada",Canada,1936-1947,219,17,34,51,208,8,"Cedar Springs, ON, Canada",Canada
Harold Phillipoff,W,14-02-1956,"Kamsack, SK, Canada",Canada,1977-1980,141,26,57,83,267,3,"Kamsack, SK, Canada",Canada
Harold Snepsts,D,24-10-1954,"Edmonton, AB, Canada",Canada,1974-1991,1033,38,195,233,2009,17,"Edmonton, AB, Canada",Canada
Harold Starr,D,06-07-1906,"Ottawa, ON, Canada",Canada,1929-1936,203,6,5,11,191,7,"Ottawa, ON, Canada",Canada
Harrison Gray,G,05-09-1941,"Calgary, AB, Canada",Canada,1963-1964,1,0,0,0,0,1,"Calgary, AB, Canada",Canada
"Harry ""Hap"" Holmes",G,21-02-1892,"Aurora, ON, Canada",Canada,1917-1928,103,0,0,0,0,4,"Aurora, ON, Canada",Canada
"Harry ""Huddy"" Bell",D,31-10-1925,"Regina, SK, Canada",Canada,1946-1947,1,0,1,1,0,1,"Regina, SK, Canada",Canada
"Harry ""Punch"" Broadbent",R,13-07-1892,"Ottawa, ON, Canada",Canada,1918-1929,302,122,45,167,553,11,"Ottawa, ON, Canada",Canada
"Harry ""Yip"" Foster",D,25-11-1907,"Guelph, ON, Canada",Canada,1929-1935,79,3,2,5,32,4,"Guelph, ON, Canada",Canada
"Harry ""Yip"" Radley",D,27-06-1908,"Ottawa, ON, Canada",Canada,1930-1937,19,0,1,1,13,2,"Ottawa, ON, Canada",Canada
Harry Cameron,D,06-02-1890,"Pembroke, ON, Canada",Canada,1917-1923,127,90,27,117,137,6,"Pembroke, ON, Canada",Canada
Harry Connor,L,03-12-1904,"Ottawa, ON, Canada",Canada,1927-1931,135,16,5,21,149,4,"Ottawa, ON, Canada",Canada
Harry Dick,D,22-11-1922,"Port Colborne, ON, Canada",Canada,1946-1947,12,0,1,1,12,1,"Port Colborne, ON, Canada",Canada
Harry Frost,R,17-08-1914,"Deer Lake, ON, Canada",Canada,1938-1939,3,0,0,0,0,1,"Deer Lake, ON, Canada",Canada
Harry Helman,R,28-08-1894,"Ottawa, ON, Canada",Canada,1922-1925,42,1,0,1,7,3,"Ottawa, ON, Canada",Canada
Harry Howell,D,28-12-1932,"Hamilton, ON, Canada",Canada,1952-1973,1411,94,324,418,1298,21,"Hamilton, ON, Canada",Canada
Harry Hyland,R,02-01-1889,"Montreal, QC, Canada",Canada,1917-1918,16,14,0,14,9,1,"Montreal, QC, Canada",Canada
Harry Lumley,G,11-11-1926,"Owen Sound, ON, Canada",Canada,1943-1960,804,0,0,0,95,16,"Owen Sound, ON, Canada",Canada
Harry Meeking,L,10-01-1894,"Barrie, ON, Canada",Canada,1917-1927,63,20,3,23,61,3,"Barrie, ON, Canada",Canada
Harry Oliver,R,26-10-1900,"Selkirk, MB, Canada",Canada,1926-1937,472,127,85,212,147,11,"Selkirk, MB, Canada",Canada
Harry Pidhirny,C,05-03-1928,"Toronto, ON, Canada",Canada,1957-1958,2,0,0,0,0,1,"Toronto, ON, Canada",Canada
Harry Taylor,C,28-03-1926,"St. James, MB, Canada",Canada,1946-1952,66,5,10,15,30,3,"St. James, MB, Canada",Canada
Harry Watson,L,06-05-1923,"Saskatoon, SK, Canada",Canada,1941-1957,809,236,207,443,150,14,"Saskatoon, SK, Canada",Canada
Harry York,C,16-04-1974,"Ponoka, AB, Canada",Canada,1996-2000,244,29,46,75,99,4,"Ponoka, AB, Canada",Canada
Harry Zolnierczyk,L,01-09-1987,"Toronto, ON, Canada",Canada,2011-2017,84,7,6,13,93,6,"Toronto, ON, Canada",Canada
Hartland Monahan,F,29-03-1951,"Montreal, QC, Canada",Canada,1973-1981,334,61,80,141,163,7,"Montreal, QC, Canada",Canada
"Harvey ""Busher"" Jackson",L,17-01-1911,"Toronto, ON, Canada",Canada,1929-1944,636,241,234,475,437,15,"Toronto, ON, Canada",Canada
Harvey Bennett,G,23-07-1925,"Edington, SK, Canada",Canada,1944-1945,24,0,0,0,0,1,"Edington, SK, Canada",Canada
Harvey Fraser,C,14-10-1918,"Souris, MB, Canada",Canada,1944-1945,21,5,4,9,0,1,"Souris, MB, Canada",Canada
Harvey Rockburn,D,20-08-1908,"Ottawa, ON, Canada",Canada,1929-1933,94,4,2,6,254,3,"Ottawa, ON, Canada",Canada
Harvey Teno,G,15-02-1915,"Windsor, ON, Canada",Canada,1938-1939,5,0,0,0,0,1,"Windsor, ON, Canada",Canada
Harvie Pocza,L,22-09-1959,"Lethbridge, AB, Canada",Canada,1979-1982,3,0,0,0,2,2,"Lethbridge, AB, Canada",Canada
Hayden Hodgson,R,02-03-1996,"Windsor, ON, Canada",Canada,2021-2026,19,1,2,3,27,4,"Windsor, ON, Canada",Canada
Haydn Fleury,D,08-07-1996,"Carlyle, SK, Canada",Canada,2017-2026,345,12,36,48,97,9,"Carlyle, SK, Canada",Canada
Hazen McAndrew,D,07-08-1917,"Mayo, QC, Canada",Canada,1941-1942,7,0,1,1,6,1,"Mayo, QC, Canada",Canada
Hec Highton,G,10-12-1923,"Medicine Hat, AB, Canada",Canada,1943-1944,24,0,0,0,0,1,"Medicine Hat, AB, Canada",Canada
Hec Kilrea,R,11-06-1907,"Blackburn, ON, Canada",Canada,1925-1940,633,167,129,296,438,15,"Blackburn, ON, Canada",Canada
Hec Lalande,C,24-11-1934,"North Bay, ON, Canada",Canada,1953-1958,151,21,39,60,122,4,"North Bay, ON, Canada",Canada
"Hector ""Toe"" Blake",L,21-08-1912,"Victoria Mines, ON, Canada",Canada,1934-1948,577,235,292,527,282,14,"Victoria Mines, ON, Canada",Canada
Hector Lepine,C,07-12-1897,"Bellevue, QC, Canada",Canada,1925-1926,33,5,2,7,2,1,"Bellevue, QC, Canada",Canada
Hector Marini,F,27-01-1957,"Timmins, ON, Canada",Canada,1978-1984,154,27,46,73,246,5,"Timmins, ON, Canada",Canada
"Helge ""Bulge"" Bostrom",D,09-01-1894,"Winnipeg, MB, Canada",Canada,1929-1933,90,3,3,6,58,4,"Winnipeg, MB, Canada",Canada
Hendrix Lapierre,C,09-02-2002,"Gatineau, QC, Canada",Canada,2021-2026,158,13,34,47,41,4,"Gatineau, QC, Canada",Canada
Henri Richard,F,29-02-1936,"Montreal, QC, Canada",Canada,1955-1975,1258,358,688,1046,928,20,"Montreal, QC, Canada",Canada
"Henry ""Smoky"" Harris",L,28-04-1906,"Kenora, ON, Canada",Canada,1930-1931,34,2,4,6,20,1,"Kenora, ON, Canada",Canada
Henry Dyck,L,05-09-1912,"Saskatoon, SK, Canada",Canada,1943-1944,1,0,0,0,0,1,"Saskatoon, SK, Canada",Canada
Herb Dickenson,L,11-06-1931,"Hamilton, ON, Canada",Canada,1951-1953,48,18,17,35,10,2,"Hamilton, ON, Canada",Canada
Herb Foster,L,09-08-1913,"Brockville, ON, Canada",Canada,1940-1948,5,1,0,1,5,2,"Brockville, ON, Canada",Canada
Herb Gardiner,D,10-05-1891,"Winnipeg, MB, Canada",Canada,1926-1929,101,10,9,19,52,3,"Winnipeg, MB, Canada",Canada
Herb Mitchell,L,04-01-1895,"Meaford, ON, Canada",Canada,1924-1926,53,6,0,6,56,2,"Meaford, ON, Canada",Canada
Herb Raglan,R,05-08-1967,"Peterborough, ON, Canada",Canada,1985-1994,343,33,56,89,775,9,"Peterborough, ON, Canada",Canada
Herb Rheaume,G,12-01-1900,"Mason, QC, Canada",Canada,1925-1926,31,0,0,0,0,1,"Mason, QC, Canada",Canada
Herb Stuart,G,30-03-1900,"Brantford, ON, Canada",Canada,1926-1927,3,0,0,0,0,1,"Brantford, ON, Canada",Canada
"Herbert ""Buddy"" O'Connor",C,21-06-1916,"Montreal, QC, Canada",Canada,1941-1951,509,140,257,397,34,10,"Montreal, QC, Canada",Canada
"Herbert ""Hap"" Hamel",R,08-06-1904,"New Hamburg, ON, Canada",Canada,1930-1931,2,0,0,0,14,1,"New Hamburg, ON, Canada",Canada
Herbert Cain,L,24-12-1913,"Newmarket, ON, Canada",Canada,1933-1946,571,206,194,400,178,13,"Newmarket, ON, Canada",Canada
Herbert Drury,D,02-03-1895,"Midland, ON, Canada",Canada,1925-1931,213,24,13,37,203,6,"Midland, ON, Canada",Canada
Herbie Lewis,L,17-04-1906,"Calgary, AB, Canada",Canada,1928-1939,483,148,161,309,248,11,"Calgary, AB, Canada",Canada
Hib Milks,L,01-01-1899,"Eardley, QC, Canada",Canada,1925-1933,317,87,41,128,179,8,"Eardley, QC, Canada",Canada
"Hillary ""Minnie"" Menard",L,15-01-1934,"Timmins, ON, Canada",Canada,1953-1954,1,0,0,0,0,1,"Timmins, ON, Canada",Canada
Hilliard Graves,R,18-10-1950,"Saint John, NB, Canada",Canada,1970-1980,556,118,163,281,209,9,"Saint John, NB, Canada",Canada
Hnat Domenichelli,C,16-02-1976,"Edmonton, AB, Canada",Canada,1996-2003,267,52,61,113,104,7,"Edmonton, AB, Canada",Canada
Horace Merrill,D,30-11-1884,"Toronto, ON, Canada",Canada,1917-1920,11,0,0,0,0,2,"Toronto, ON, Canada",Canada
"Howard ""Holes"" Lockhart",G,21-03-1895,"North Bay, ON, Canada",Canada,1919-1920,6,0,0,0,0,1,"North Bay, ON, Canada",Canada
Howard Mackie,R,30-08-1912,"Kitchener, ON, Canada",Canada,1936-1938,15,1,0,1,4,2,"Kitchener, ON, Canada",Canada
Howard McNamara,D,03-08-1893,"Randolph, ON, Canada",Canada,1919-1920,11,1,0,1,2,1,"Randolph, ON, Canada",Canada
Howard Riopelle,L,30-01-1922,"Ottawa, ON, Canada",Canada,1947-1950,169,27,16,43,73,3,"Ottawa, ON, Canada",Canada
Howard Scruton,D,06-10-1962,"Toronto, ON, Canada",Canada,1982-1983,4,0,4,4,9,1,"Toronto, ON, Canada",Canada
Howard Walker,D,05-08-1958,"Grande Prairie, AB, Canada",Canada,1980-1983,83,2,13,15,133,3,"Grande Prairie, AB, Canada",Canada
Howie Glover,R,14-02-1935,"Toronto, ON, Canada",Canada,1958-1969,144,29,17,46,101,5,"Toronto, ON, Canada",Canada
Howie Hughes,R,04-04-1939,"St. Boniface, MB, Canada",Canada,1967-1970,168,25,32,57,30,3,"St. Boniface, MB, Canada",Canada
Howie Meeker,R,04-11-1923,"Kitchener, ON, Canada",Canada,1946-1954,346,83,102,185,329,8,"Kitchener, ON, Canada",Canada
Howie Menard,C,28-04-1942,"Timmins, ON, Canada",Canada,1963-1970,151,23,42,65,87,4,"Timmins, ON, Canada",Canada
Howie Morenz,C,21-06-1902,"Mitchell, ON, Canada",Canada,1923-1937,550,270,197,467,531,14,"Mitchell, ON, Canada",Canada
Howie Young,D,02-08-1937,"Toronto, ON, Canada",Canada,1960-1971,336,12,62,74,851,8,"Toronto, ON, Canada",Canada
Hub Anslow,L,23-03-1926,"Pembroke, ON, Canada",Canada,1947-1948,2,0,0,0,0,1,"Pembroke, ON, Canada",Canada
Hub Wilson,L,13-05-1909,"Iroquois, ON, Canada",Canada,1931-1932,2,0,0,0,0,1,"Iroquois, ON, Canada",Canada
"Hubert ""Pit"" Martin",F,09-12-1943,"Rouyn-Noranda, QC, Canada",Canada,1961-1979,1101,324,485,809,609,17,"Rouyn-Noranda, QC, Canada",Canada
Hubert Macey,L,13-04-1921,"Big River, SK, Canada",Canada,1941-1947,30,6,9,15,0,3,"Big River, SK, Canada",Canada
Hugh Bolton,D,15-04-1929,"Toronto, ON, Canada",Canada,1949-1957,235,10,51,61,221,8,"Toronto, ON, Canada",Canada
Hugh Coflin,D,15-12-1928,"Blaine Lake, SK, Canada",Canada,1950-1951,31,0,3,3,33,1,"Blaine Lake, SK, Canada",Canada
Hugh Currie,D,22-10-1925,"Saskatoon, SK, Canada",Canada,1950-1951,1,0,0,0,0,1,"Saskatoon, SK, Canada",Canada
Hugh Harris,C,07-06-1948,"Toronto, ON, Canada",Canada,1972-1973,60,12,26,38,17,1,"Toronto, ON, Canada",Canada
Hugh Harvey,L,25-06-1949,"Kingston, ON, Canada",Canada,1974-1976,18,1,1,2,4,2,"Kingston, ON, Canada",Canada
Hugh Lehman,G,27-10-1885,"Pembroke, ON, Canada",Canada,1926-1928,48,0,0,0,0,2,"Pembroke, ON, Canada",Canada
Hugh Millar,D,03-04-1921,"Edmonton, AB, Canada",Canada,1946-1947,4,0,0,0,0,1,"Edmonton, AB, Canada",Canada
Hugh Plaxton,L,16-05-1904,"Toronto, ON, Canada",Canada,1932-1933,15,1,2,3,4,1,"Toronto, ON, Canada",Canada
Hunter Drew,D,21-10-1998,"Kingston, ON, Canada",Canada,2021-2022,2,0,0,0,5,1,"Kingston, ON, Canada",Canada
Hunter Haight,C,04-04-2004,"Strathroy, ON, Canada",Canada,2025-2026,9,1,1,2,4,1,"Strathroy, ON, Canada",Canada
Hunter Shinkaruk,L,13-10-1994,"Calgary, AB, Canada",Canada,2015-2017,15,2,2,4,4,2,"Calgary, AB, Canada",Canada
Hy Buller,D,15-03-1926,"Montreal, QC, Canada",Canada,1943-1954,188,22,58,80,215,5,"Montreal, QC, Canada",Canada
Iain Duncan,L,04-08-1963,"Toronto, ON, Canada",Canada,1986-1991,127,34,55,89,149,4,"Toronto, ON, Canada",Canada
Iain Fraser,C,10-08-1969,"Scarborough, ON, Canada",Canada,1992-1997,94,23,23,46,31,5,"Scarborough, ON, Canada",Canada
Ian Cushenan,D,29-11-1933,"Hamilton, ON, Canada",Canada,1956-1964,129,3,11,14,134,5,"Hamilton, ON, Canada",Canada
Ian Herbers,D,18-07-1967,"Jasper, AB, Canada",Canada,1993-2000,65,0,5,5,79,2,"Jasper, AB, Canada",Canada
Ian Laperriere,C,19-01-1974,"Montreal, QC, Canada",Canada,1993-2010,1083,121,215,336,1956,16,"Montreal, QC, Canada",Canada
Ian MacIntosh,L,10-06-1927,"Selkirk, MB, Canada",Canada,1952-1953,4,0,0,0,4,1,"Selkirk, MB, Canada",Canada
Ian MacNeil,C,27-04-1977,"Halifax, NS, Canada",Canada,2002-2003,2,0,0,0,0,1,"Halifax, NS, Canada",Canada
Ian McKegney,D,07-05-1947,"Sarnia, ON, Canada",Canada,1976-1977,3,0,0,0,2,1,"Sarnia, ON, Canada",Canada
Ian Mitchell,D,18-01-1999,"St. Albert, AB, Canada",Canada,2020-2025,110,4,15,19,34,5,"St. Albert, AB, Canada",Canada
Ian Turnbull,D,22-12-1953,"Montreal, QC, Canada",Canada,1973-1983,628,123,317,440,736,10,"Montreal, QC, Canada",Canada
Ian White,D,04-06-1984,"Steinbach, MB, Canada",Canada,2005-2013,503,45,134,179,254,8,"Steinbach, MB, Canada",Canada
Ike Hildebrand,R,27-05-1927,"Winnipeg, MB, Canada",Canada,1953-1955,41,7,11,18,16,2,"Winnipeg, MB, Canada",Canada
Irv Spencer,D,04-12-1937,"Sudbury, ON, Canada",Canada,1959-1968,230,12,38,50,127,8,"Sudbury, ON, Canada",Canada
"Irvine ""Ace"" Bailey",L,03-07-1903,"Bracebridge, ON, Canada",Canada,1926-1934,313,111,82,193,472,8,"Bracebridge, ON, Canada",Canada
Irving McGibbon,R,11-10-1914,"Antigonish, NS, Canada",Canada,1942-1943,1,0,0,0,2,1,"Antigonish, NS, Canada",Canada
Isaac Ratcliffe,L,15-02-1999,"London, ON, Canada",Canada,2021-2022,10,1,3,4,10,1,"London, ON, Canada",Canada
Isaak Phillips,D,28-09-2001,"Barrie, ON, Canada",Canada,2021-2026,59,2,10,12,33,5,"Barrie, ON, Canada",Canada
Isaiah George,D,15-02-2004,"Oakville, ON, Canada",Canada,2024-2026,37,1,5,6,6,2,"Oakville, ON, Canada",Canada
"Ivan ""Ching"" Johnson",D,07-12-1898,"Winnipeg, MB, Canada",Canada,1926-1938,435,38,48,86,808,12,"Winnipeg, MB, Canada",Canada
"Ivan ""Hickey"" Nicholson",L,09-11-1911,"Charlottetown, PE, Canada",Canada,1937-1938,2,1,0,1,0,1,"Charlotettown, PE, Canada",Canada
Ivan Mitchell,G,09-07-1893,"Winnipeg, MB, Canada",Canada,1919-1920,15,0,0,0,0,1,"Winnipeg, MB, Canada",Canada
J.-Bob Kelly,L,06-06-1946,"Fort William, ON, Canada",Canada,1973-1979,425,87,109,196,687,6,"Fort William, ON, Canada",Canada
J.C. Tremblay,D,22-01-1939,"Bagotville, QC, Canada",Canada,1959-1972,794,57,306,363,204,13,"Bagotville, QC, Canada",Canada
J.F. Berube,G,13-07-1991,"Repentigny, QC, Canada",Canada,2015-2022,40,0,1,1,0,4,"Repentigny, QC, Canada",Canada
J.F. Fortin,D,15-03-1979,"Laval, QC, Canada",Canada,2001-2004,71,1,4,5,42,3,"Laval, QC, Canada",Canada
J.F. Quintin,L,28-05-1969,"Saint-Jean, QC, Canada",Canada,1991-1993,22,5,5,10,4,2,"Saint-Jean, QC, Canada",Canada
J.F. Sauve,C,23-01-1960,"Sainte-Genevieve, QC, Canada",Canada,1980-1987,290,65,138,203,117,7,"Sainte-Genevieve, QC, Canada",Canada
J.J. Daigneault,D,12-10-1965,"Montreal, QC, Canada",Canada,1984-2001,899,53,197,250,687,16,"Montreal, QC, Canada",Canada
J.P. Bordeleau,R,13-06-1949,"Rouyn-Noranda, QC, Canada",Canada,1969-1980,519,97,126,223,143,10,"Rouyn-Noranda, QC, Canada",Canada
J.P. Dumont,R,01-04-1978,"Montreal, QC, Canada",Canada,1998-2011,822,214,309,523,364,12,"Montreal, QC, Canada",Canada
